name,url,description,duration,remote_support,adaptive_support,test_type
Java Platform Enterprise Edition 7 (Java EE 7),https://www.shl.com/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,Yes,Knowledge & Skills
Java Web Services (New),https://www.shl.com/products/product-catalog/view/java-web-services-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
JavaScript (New),https://www.shl.com/products/product-catalog/view/javascript-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Jenkins (New),https://www.shl.com/products/product-catalog/view/jenkins-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Job Control Language (New),https://www.shl.com/products/product-catalog/view/job-control-language-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
jQuery (New),https://www.shl.com/products/product-catalog/view/jquery-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Kubernetes (New),https://www.shl.com/products/product-catalog/view/kubernetes-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Linux Administration (New),https://www.shl.com/products/product-catalog/view/linux-administration-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Linux Operating System,https://www.shl.com/products/product-catalog/view/linux-operating-system/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Linux Programming (General),https://www.shl.com/products/product-catalog/view/linux-programming-general/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,Yes,Knowledge & Skills
Load Runner (New),https://www.shl.com/products/product-catalog/view/load-runner-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Management Scenarios,https://www.shl.com/products/product-catalog/view/management-scenarios/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Biodata & Situational Judgement
Managerial Scenarios Candidate Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-candidate-report/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Biodata & Situational Judgement
Managerial Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-narrative-report/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Biodata & Situational Judgement
Managerial Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-profile-report/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Biodata & Situational Judgement
Manual Testing (New),https://www.shl.com/products/product-catalog/view/manual-testing-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Manufac. & Indust. - Mechanical & Vigilance 8.0,https://www.shl.com/products/product-catalog/view/mechanical-and-vigilance-focus-8-0/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Ability & Aptitude | Personality & Behavior
Manufac. & Indust. - Safety & Dependability 8.0,https://www.shl.com/products/product-catalog/view/safety-and-dependability-focus-8-0/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Personality & Behavior
Manufacturing & Industrial - Essential Focus 8.0,https://www.shl.com/products/product-catalog/view/essential-focus-8-0/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Personality & Behavior
Manufacturing & Industrial - Mechanical Focus 8.0,https://www.shl.com/products/product-catalog/view/mechanical-focus-8-0/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Ability & Aptitude | Personality & Behavior
Manufacturing & Industrial - Vigilance Focus 8.0,https://www.shl.com/products/product-catalog/view/vigilance-focus-8-0/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Ability & Aptitude | Personality & Behavior
Marketing (New),https://www.shl.com/products/product-catalog/view/marketing-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Maven (New),https://www.shl.com/products/product-catalog/view/maven-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Mechanical Engineering (New),https://www.shl.com/products/product-catalog/view/mechanical-engineering-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Mechatronics Engineering (New),https://www.shl.com/products/product-catalog/view/mechatronics-engineering-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Medical Terminology (New),https://www.shl.com/products/product-catalog/view/medical-terminology-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Metallurgical Engineering (New),https://www.shl.com/products/product-catalog/view/metallurgical-engineering-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
MFS 360 Enterprise Leadership Report,https://www.shl.com/products/product-catalog/view/mfs-360-enterprise-leadership-report/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Development & 360
MFS 360 UCF Group Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-group-report/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Development & 360
MFS 360 UCF Performance Potential Dev Tips Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-performance-potential-dev-tips-report/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Development & 360
MFS 360 UCF Standard Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-standard-report/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Development & 360
Micro Focus Unified Functional Testing (New),https://www.shl.com/products/product-catalog/view/micro-focus-unified-functional-testing-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Microservices (New),https://www.shl.com/products/product-catalog/view/microservices-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Microsoft Dynamics Development (New),https://www.shl.com/products/product-catalog/view/microsoft-dynamics-development-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Microsoft Excel 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-excel-365-essentials-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills | Simulations
Microsoft Excel 365 (New),https://www.shl.com/products/product-catalog/view/microsoft-excel-365-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills | Simulations
Microsoft Outlook 2013 (adaptive),https://www.shl.com/products/product-catalog/view/microsoft-outlook-2013-adaptive/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,Yes,Knowledge & Skills
Microsoft PowerPoint 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-powerpoint-365-essentials-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills | Simulations
Microsoft SQL Server 2014 Programming,https://www.shl.com/products/product-catalog/view/microsoft-sql-server-2014-programming/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,Yes,Knowledge & Skills
Microsoft Windows Server 2012 Administration,https://www.shl.com/products/product-catalog/view/microsoft-windows-server-2012-administration/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,Yes,Knowledge & Skills
Microsoft Word 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-word-365-essentials-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills | Simulations
Microsoft Word 365 (New),https://www.shl.com/products/product-catalog/view/microsoft-word-365-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Simulations | Knowledge & Skills
Mineral Engineering (New),https://www.shl.com/products/product-catalog/view/mineral-engineering-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Mining Engineering (New),https://www.shl.com/products/product-catalog/view/mining-engineering-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Mobility (New),https://www.shl.com/products/product-catalog/view/mobility-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Molecular Biology (New),https://www.shl.com/products/product-catalog/view/molecular-biology-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
MongoDB (New),https://www.shl.com/products/product-catalog/view/mongodb-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Motivation Questionnaire MQM5,https://www.shl.com/products/product-catalog/view/motivation-questionnaire-mqm5/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Personality & Behavior
MQ Candidate Motivation Report,https://www.shl.com/products/product-catalog/view/mq-candidate-motivation-report/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Personality & Behavior
MQ Employee Motivation Report,https://www.shl.com/products/product-catalog/view/mq-employee-motivation-report/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Personality & Behavior
MQ Motivation Report Pack,https://www.shl.com/products/product-catalog/view/mq-motivation-report-pack/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Personality & Behavior
MQ Profile,https://www.shl.com/products/product-catalog/view/mq-profile/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Personality & Behavior
MS Access (New),https://www.shl.com/products/product-catalog/view/ms-access-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
MS Excel (New),https://www.shl.com/products/product-catalog/view/ms-excel-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
MS Office Basic Computer Literacy (New),https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
MS Office Basic Computer Literacy (Sim) (New),https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-sim-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Simulations
MS PowerPoint (New),https://www.shl.com/products/product-catalog/view/ms-powerpoint-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
MS Word (New),https://www.shl.com/products/product-catalog/view/ms-word-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
MuleSoft Development (New),https://www.shl.com/products/product-catalog/view/mulesoft-development-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
